Warnings with flags (1791):
  ext_inline_variable [-Wc++17-extensions]
  ext_integer_complement_complex [-Wpedantic]
  ext_integer_complex [-Wgnu-complex-integer]
  ext_integer_increment_complex [-Wpedantic]
  ext_integer_literal_too_large_for_signed [-Wimplicitly-unsigned-literal]
  ext_internal_in_extern_inline [-Wstatic-in-inline]
  ext_internal_in_extern_inline_quiet [-Wstatic-in-inline]
  ext_keyword_as_ident [-Wkeyword-compat]
  ext_lambda_missing_parens [-Wc++2b-extensions]
  ext_lambda_template_parameter_list [-Wc++20-extensions]
  ext_line_comment [-Wcomment]
  ext_main_returns_nonint [-Wmain-return-type]
  ext_main_used [-Wmain]
  ext_many_braces_around_init [-Wmany-braces-around-scalar-init]
  ext_member_redeclared [-Wredeclared-class-member]
  ext_mismatched_exception_spec [-Wmicrosoft-exception-spec]
  ext_mismatched_exception_spec_explicit_instantiation [-Wmicrosoft-exception-spec]
  ext_missing_exception_specification [-Wmissing-exception-spec]
  ext_missing_type_specifier [-Wimplicit-int]
  ext_missing_varargs_arg [-Wgnu-zero-variadic-macro-arguments]
  ext_mixed_decls_code [-Wdeclaration-after-statement]
  ext_module_import_in_extern_c [-Wmodule-import-in-extern-c]
  ext_module_import_not_at_top_level_noop [-Wmodules-import-nested-redundant]
  ext_ms_abstract_keyword [-Wmicrosoft-abstract]
  ext_ms_ambiguous_direct_base [-Wmicrosoft-inaccessible-base]
  ext_ms_anonymous_record [-Wmicrosoft-anon-tag]
  ext_ms_c_enum_fixed_underlying_type [-Wmicrosoft-fixed-enum]
  ext_ms_cast_fn_obj [-Wmicrosoft-cast]
  ext_ms_delayed_template_argument [-Wmicrosoft-template]
  ext_ms_deref_template_argument [-Wmicrosoft-template]
  ext_ms_explicit_constructor_call [-Wmicrosoft-explicit-constructor-call]
  ext_ms_forward_ref_enum [-Wmicrosoft-enum-forward-reference]
  ext_ms_impcast_fn_obj [-Wmicrosoft-cast]
  ext_ms_reserved_user_defined_literal [-Wreserved-user-defined-literal]
  ext_ms_sealed_keyword [-Wmicrosoft-sealed]
  ext_ms_static_assert [-Wmicrosoft-static-assert]
  ext_ms_template_spec_redecl_out_of_scope [-Wmicrosoft-template]
  ext_ms_template_type_arg_missing_typename [-Wmicrosoft-template]
  ext_ms_using_declaration_inaccessible [-Wmicrosoft-using-decl]
  ext_multi_line_line_comment [-Wcomment]
  ext_multi_using_declaration [-Wc++17-extensions]
  ext_mutable_reference [-Wmicrosoft-mutable-reference]
  ext_named_variadic_macro [-Wvariadic-macros]
  ext_nested_name_member_ref_lookup_ambiguous [-Wambiguous-member-template]
  ext_nested_name_spec_is_enum [-Wc++11-extensions]
  ext_nested_namespace_definition [-Wc++17-extensions]
  ext_nested_pointer_qualifier_mismatch [-Wincompatible-pointer-types-discards-qualifiers]
  ext_no_declarators [-Wmissing-declarations]
  ext_no_named_members_in_struct_union [-Wgnu-empty-struct]
  ext_no_newline_eof [-Wnewline-eof]
  ext_non_c_like_anon_struct_in_typedef [-Wnon-c-typedef-for-linkage]
  ext_nonclass_type_friend [-Wc++11-extensions]
  ext_nonstandard_escape [-Wpedantic]
  ext_nonstatic_member_init [-Wc++11-extensions]
  ext_noreturn_main [-Wmain]
  ext_ns_enum_attribute [-Wc++17-extensions]
  ext_nullability [-Wnullability-extension]
  ext_offsetof_non_pod_type [-Winvalid-offsetof]
  ext_offsetof_non_standardlayout_type [-Winvalid-offsetof]
  ext_old_implicitly_unsigned_long_cxx [-Wc++11-compat]
  ext_omp_attributes [-Wopenmp-51-extensions]
  ext_omp_loop_not_canonical_init [-Wopenmp-loop-form]
  ext_on_off_switch_syntax [-Wunknown-pragmas]
  ext_opencl_double_without_pragma [-Wpedantic]
  ext_opencl_ext_vector_type_rgba_selector [-Wopencl-unsupported-rgba]
  ext_operator_new_delete_declared_inline [-Winline-new-delete]
  ext_operator_overload_static [-Wpre-c++2b-compat]
  ext_out_of_line_declaration [-Wout-of-line-declaration]
  ext_out_of_line_qualified_id_type_names_constructor [-Winjected-class-name]
  ext_override_control_keyword [-Wc++11-extensions]
  ext_override_exception_spec [-Wmicrosoft-exception-spec]
  ext_ovl_ambiguous_oper_binary_reversed [-Wambiguous-reversed-operator]
  ext_ovl_rewrite_equalequal_not_bool [-Wrewrite-not-bool]
  ext_param_default_argument_redefinition [-Wmicrosoft-default-arg-redefinition]
  ext_param_not_declared [-Wimplicit-int]
  ext_param_promoted_not_compatible_with_prototype [-Wknr-promoted-parameter]
  ext_parameter_name_omitted_c2x [-Wc2x-extensions]
  ext_partial_spec_not_more_specialized_than_primary [-Winvalid-partial-specialization]
  ext_partial_specs_not_deducible [-Wunusable-partial-specialization]
  ext_paste_comma [-Wgnu-zero-variadic-macro-arguments]
  ext_pointer_to_const_ref_member_on_rvalue [-Wc++20-extensions]
  ext_pp_bad_paste_ms [-Winvalid-token-paste]
  ext_pp_bad_vaargs_use [-Wpedantic]
  ext_pp_bad_vaopt_use [-Wvariadic-macros]
  ext_pp_comma_expr [-Wpedantic]
  ext_pp_extra_tokens_at_eol [-Wextra-tokens]
  ext_pp_gnu_line_directive [-Wgnu-line-marker]
  ext_pp_ident_directive [-Wpedantic]
  ext_pp_import_directive [-Wimport-preprocessor-directive-pedantic]
  ext_pp_include_next_directive [-Wgnu-include-next]
  ext_pp_include_search_ms [-Wmicrosoft-include]
  ext_pp_line_too_big [-Wpedantic]
  ext_pp_line_zero [-Wgnu-zero-line-directive]
  ext_pp_macro_redef [-Wmacro-redefined]
  ext_pp_opencl_variadic_macros [-Wpedantic]
  ext_pp_operator_used_as_macro_name [-Wmicrosoft-cpp-macro]
  ext_pp_redef_builtin_macro [-Wbuiltin-macro-redefined]
  ext_pp_undef_builtin_macro [-Wbuiltin-macro-redefined]
  ext_pp_warning_directive [-Wpedantic]
  ext_pragma_syntax_eod [-Wunknown-pragmas]
  ext_predef_outside_function [-Wpredefined-identifier-outside-function]
  ext_pseudo_dtor_on_void [-Wmicrosoft-void-pseudo-dtor]
  ext_pure_function_definition [-Wmicrosoft-pure-definition]
  ext_qualified_dtor_named_in_lexical_scope [-Wdtor-name]
  ext_redefinition_of_typedef [-Wtypedef-redefinition]
  ext_ref_qualifier [-Wc++11-extensions]
  ext_register_storage_class [-Wregister]
  ext_reserved_user_defined_literal [-Wreserved-user-defined-literal]
  ext_retained_language_linkage [-Wretained-language-linkage]
  ext_return_has_expr [-Wreturn-type]
  ext_return_has_void_expr [-Wpedantic]
  ext_return_missing_expr [-Wreturn-type]
  ext_rvalue_reference [-Wc++11-extensions]
  ext_rvalue_to_reference_access_ctor [-Wbind-to-temporary-copy]
  ext_rvalue_to_reference_temp_copy_no_viable [-Wbind-to-temporary-copy]
  ext_scoped_enum [-Wc++11-extensions]
  ext_sizeof_alignof_function_type [-Wpointer-arith]
  ext_sizeof_alignof_void_type [-Wpointer-arith]
  ext_standalone_specifier [-Wmissing-declarations]
  ext_star_this_lambda_capture_cxx17 [-Wc++17-extensions]
  ext_static_data_member_in_union [-Wc++11-extensions]
  ext_static_non_static [-Wmicrosoft-redeclare-static]
  ext_static_out_of_line [-Wmicrosoft-template]
  ext_stdc_pragma_ignored [-Wunknown-pragmas]
  ext_string_literal_operator_template [-Wgnu-string-literal-operator-template]
  ext_string_too_long [-Woverlength-strings]
  ext_subscript_non_lvalue [-Wpedantic]
  ext_subscript_overload [-Wpre-c++2b-compat]
  ext_template_arg_local_type [-Wlocal-type-template-args]
  ext_template_arg_object_internal [-Wc++11-extensions]
  ext_template_arg_unnamed_type [-Wunnamed-type-template-args]
  ext_template_outside_of_template [-Wc++11-extensions]
  ext_template_param_shadow [-Wmicrosoft-template-shadow]
  ext_template_parameter_default_in_function_template [-Wc++11-extensions]
  ext_template_template_param_typename [-Wc++17-extensions]
  ext_thread_before [-Wpedantic]
  ext_token_used [-Wlanguage-extension-token]
  ext_typecheck_addrof_temporary [-Waddress-of-temporary]
  ext_typecheck_addrof_void [-Wpedantic]
  ext_typecheck_base_super [-Wsuper-class-method-mismatch]
  ext_typecheck_cast_nonscalar [-Wpedantic]
  ext_typecheck_cast_to_union [-Wgnu-union-cast]
  ext_typecheck_compare_complete_incomplete_pointers [-Wc11-extensions]
  ext_typecheck_comparison_of_distinct_pointers [-Wcompare-distinct-pointer-types]
  ext_typecheck_comparison_of_fptr_to_void [-Wpedantic]
  ext_typecheck_comparison_of_pointer_integer [-Wpointer-integer-compare]
  ext_typecheck_cond_incompatible_pointers [-Wpointer-type-mismatch]
  ext_typecheck_cond_one_void [-Wpedantic]
  ext_typecheck_cond_pointer_integer_mismatch [-Wconditional-type-mismatch]
  ext_typecheck_convert_discards_qualifiers [-Wincompatible-pointer-types-discards-qualifiers]
  ext_typecheck_convert_incompatible_function_pointer [-Wincompatible-function-pointer-types]
  ext_typecheck_convert_incompatible_pointer [-Wincompatible-pointer-types]
  ext_typecheck_convert_incompatible_pointer_sign [-Wpointer-sign]
  ext_typecheck_convert_int_pointer [-Wint-conversion]
  ext_typecheck_convert_pointer_int [-Wint-conversion]
  ext_typecheck_convert_pointer_void_func [-Wpedantic]
  ext_typecheck_decl_incomplete_type [-Wtentative-definition-incomplete-type]
  ext_typecheck_indirection_through_void_pointer [-Wvoid-ptr-dereference]
  ext_typecheck_indirection_through_void_pointer_cpp [-Wvoid-ptr-dereference]
  ext_typecheck_ordered_comparison_of_function_pointers [-Wordered-compare-function-pointers]
  ext_typecheck_ordered_comparison_of_pointer_and_zero [-Wpedantic]
  ext_typecheck_zero_array_size [-Wzero-length-array]
  ext_typedef_without_a_name [-Wmissing-declarations]
  ext_typename_missing [-Wtypename-missing]
  ext_typename_outside_of_template [-Wc++11-extensions]
  ext_undeclared_unqual_id_with_dependent_base [-Wmicrosoft-template]
  ext_undefined_internal_type [-Wundefined-internal-type]
  ext_unelaborated_friend_type [-Wc++11-extensions]
  ext_unicode_whitespace [-Wunicode-whitespace]
  ext_union_member_of_reference_type [-Wmicrosoft-union-member-reference]
  ext_unknown_escape [-Wunknown-escape-sequence]
  ext_unqualified_base_class [-Wmicrosoft-template]
  ext_unterminated_char_or_string [-Winvalid-pp-token]
  ext_use_out_of_scope_declaration [-Wout-of-scope-function]
  ext_using_attribute_ns [-Wc++17-extensions]
  ext_using_decl_scoped_enumerator [-Wc++20-extensions]
  ext_using_declaration_pack [-Wc++17-extensions]
  ext_using_enum_declaration [-Wc++20-extensions]
  ext_variable_sized_type_in_struct [-Wgnu-variable-sized-type-not-at-end]
  ext_variable_template [-Wc++14-extensions]
  ext_variadic_macro [-Wvariadic-macros]
  ext_variadic_main [-Wmain]
  ext_variadic_templates [-Wc++11-extensions]
  ext_vla [-Wvla-extension]
  ext_vla_folded_to_constant [-Wgnu-folding-constant]
  ext_warn_duplicate_declspec [-Wduplicate-decl-specifier]
  ext_warn_gnu_final [-Wgcc-compat]
  ext_wchar_t_sign_spec [-Wsigned-unsigned-wchar]
  null_in_char_or_string [-Wnull-character]
  null_in_file [-Wnull-character]
  pp_disabled_macro_expansion [-Wdisabled-macro-expansion]
  pp_hash_warning [-W#warnings]
  pp_include_next_absolute_path [-Winclude-next-absolute-path]
  pp_include_next_in_primary [-Winclude-next-outside-header]
  pp_macro_not_used [-Wunused-macros]
  pp_nonportable_path [-Wnonportable-include-path]
  pp_nonportable_system_path [-Wnonportable-system-include-path]
  pp_pragma_once_in_main_file [-Wpragma-once-outside-header]
  pp_pragma_sysheader_in_main_file [-Wpragma-system-header-outside-header]
  remark_cc1_round_trip_generated [-Wround-trip-cc1-args]
  remark_fe_backend_optimization_remark [-Wpass]
  remark_fe_backend_optimization_remark_analysis [-Wpass-analysis]
  remark_fe_backend_optimization_remark_analysis_aliasing [-Wpass-analysis]
  remark_fe_backend_optimization_remark_analysis_fpcommute [-Wpass-analysis]
  remark_fe_backend_optimization_remark_missed [-Wpass-missed]
  remark_fe_backend_plugin [-Wremark-backend-plugin]
  remark_module_build [-Wmodule-build]
  remark_module_build_done [-Wmodule-build]
  remark_module_import [-Wmodule-import]
  remark_module_lock [-Wmodule-lock]
  remark_module_lock_failure [-Wmodule-build]
  remark_module_lock_timeout [-Wmodule-build]
  remark_pp_include_directive_modular_translation [-Wmodule-include-translation]
  remark_pp_search_path_usage [-Wsearch-path-usage]
  remark_sanitize_address_insert_extra_padding_accepted [-Wsanitize-address]
  remark_sanitize_address_insert_extra_padding_rejected [-Wsanitize-address]
  remark_sloc_usage [-Wsloc-usage]
  trigraph_converted [-Wtrigraphs]
